prochloraceae,prochlorococcus_marinus,code_MONS,lon,lat,prokaryote_c01_darwin_clim,sample_method_underway,section_id_I09N,fe_t_darwin_clim,section_id_I07N,depth,myoviridae,code_WTRA,species_number,section_id_C13.5.A13.5,code_NASW,family_number,code_SATL,section_id_AMT28,pelagibacteraceae,no3_darwin_clim,sample_method_CTD,section_id_P18,dop_darwin_clim,flavobacteriaceae,po4_darwin_clim,temperature
-2.2099186294187216,-2.1594464721459854,0,-0.7896269406610987,2.547928986700721,-1.2923985388760924,0,0,0.37280554162778196,0,-4.601008672177055,-0.37538445355176586,0,0.29636647266127336,0,0,0.23150198913814032,0,0,4.859366744744849,0.3299773845115538,1,0,2.167906242819682,-0.596293615601143,1.7624562069679313,10.385
-2.2099186294187216,-2.1594464721459854,0,-0.7489483255450622,2.461231090438665,-0.9041548103288503,0,0,0.29400417794367983,0,-4.601008672177055,-0.37538445355176586,0,0.36631470332198995,0,0,0.48308389339458757,0,0,3.9336732203836333,0.1743335946957306,1,0,2.3268182374897743,3.0213488179853956,1.5766291718916083,11.765
-2.2099186294187216,-2.1594464721459854,0,-0.7489483255450622,2.461231090438665,-1.2603046632341448,0,0,0.3310145011289957,0,3.074651421607062,-0.37538445355176586,0,-0.05578668859612733,0,0,-0.27166181937475425,0,0,5.089878443429863,0.23098520702453648,1,0,2.1666709092205236,2.9595415009313766,1.624892752557767,11.674
-2.2099186294187216,-2.1594464721459854,0,-0.7083812518446124,2.37503551344507,-0.5893167010409545,0,0,0.26547913839767817,0,-0.4730096172336213,-0.37538445355176586,0,-0.36934772259244303,0,0,-0.20876634331064242,0,0,2.101095619180876,-0.030448769809956484,1,0,2.4998923399851924,2.5673658697125155,1.2358771399076391,13.354
-2.2099186294187216,-2.1594464721459854,0,-0.7083812518446124,2.37503551344507,-0.949785615658587,0,0,0.29924006510267814,0,3.074651421607062,-0.37538445355176586,0,0.38561076695253244,0,0,0.35729294126636396,0,0,1.410520188815614,0.03391430235452459,1,0,2.3343281695000506,3.0776864609638364,1.286183173456203,13.095
-2.2099186294187216,-2.1594464721459854,0,-0.6677730782346545,2.2887550435019524,-0.17544269701720605,0,0,0.27699102681296583,0,-0.4730096172336213,-0.37538445355176586,0,0.378374743091079,0,0,0.6088748455228112,0,0,4.023497928946985,-0.0769562884747949,1,0,2.6301741989923113,2.7713847127315323,0.8343652809291778,15.58
-1.9242113788710533,-2.1594464721459854,0,-0.7016303817380232,2.2023565179515137,0.015904270898677044,0,0,0.24440337129506587,0,-0.4730096172336213,-0.37538445355176586,0,0.3180745442456337,0,0,0.5459793694586994,0,0,1.9425588472293176,-0.4987804465134139,1,0,3.1669564694520633,-0.596293615601143,1.0103357951231307,18.337
-2.2099186294187216,-2.1594464721459854,0,-0.7016303817380232,2.2023565179515137,-1.2147285229458145,0,0,0.42273318935140447,0,3.8565840583072846,-0.37538445355176586,0,0.10581784430966613,0,0,0.6088748455228112,0,0,2.1843946010537283,-0.14459398104976995,1,0,2.2594596469973283,2.735284863832725,1.1684700524866454,9.27
-2.2099186294187216,-2.1594464721459854,0,-0.7355000937836166,2.1156686827562114,0.3679120096418221,0,0,0.2499000214965343,0,-0.4730096172336213,-0.37538445355176586,0,0.13958595566311552,0,0,0.10571103700991667,0,0,2.583039728588095,-0.12617240176270428,1,0,2.947723656488113,2.0209454295623863,0.5054252105570586,18.518
-2.2099186294187216,-2.1594464721459854,0,-0.7355000937836166,2.1156686827562114,-1.0556224336806495,0,0,0.48034633835473933,0,3.8565840583072846,-0.37538445355176586,0,0.301190488568909,0,0,1.049143177971594,0,0,5.290832438869671,0.3974538307409649,1,0,1.7598349209039537,3.59949336777387,0.6785184363853503,7.99
-1.9201525697828354,-2.1594464721459854,0,-0.7693133713456861,2.0296703113071075,0.5265525717210365,0,0,0.22176510598902402,0,-0.4730096172336213,-0.37538445355176586,0,-0.7359729315727506,0,0,-0.9006165800158724,0,0,1.7166535438552455,-0.5352388966504403,1,0,3.4573251299097643,-0.596293615601143,0.631128435922199,19.357
-2.2099186294187216,-2.1594464721459854,0,-0.7693133713456861,2.0296703113071075,-0.23237559345610895,0,0,0.32941811368829105,0,3.074651421607062,-0.37538445355176586,0,0.043105637510403,0,0,0.1686065130740285,0,0,7.216305678843074,-0.30875420928467096,1,0,2.9154075627006315,1.6676044842801214,0.7279172598089799,10.715
0.6183582710401981,0.4602299362084598,0,-0.8032061258916332,1.9433121163847733,0.685743025727035,0,0,0.33957562084193244,0,-0.4730096172336213,-0.37538445355176586,0,0.8511283020393704,0,0,1.1120386540357057,0,0,0.17581431234542805,0.4471381210813529,1,0,2.292911591754011,-0.596293615601143,0.3107773733875009,23.741
0.6260370990449345,0.3536405502572896,0,-0.8370729119054355,1.8569064228640286,0.03831643558301,0,0,0.8453976349936573,0,-0.4730096172336213,-0.37538445355176586,0,0.2601863533540062,0,1,0.9862477019074821,0,0,0.5953801519169855,1.035249946483648,1,0,0.15136839427468324,-0.596293615601143,-0.12732146829228916,26.285
0.817020521277029,0.47710658898406205,0,-0.8709564006840447,1.7707094209124812,-0.0906582819644031,0,0,0.9327710568609446,0,-0.4730096172336213,-0.37538445355176586,0,-0.40793984985352805,0,1,-0.08297539118241878,0,0,0.1032635861981047,1.0855404023216206,1,0,-0.18873664870109927,-0.596293615601143,-0.25173335214783527,26.995
