prochlorococcus_marinus,temperature,lon,sample_method_underway,depth,fe_t_darwin_clim,code_MONS,section_id_I07N,section_id_I09N,lat,code_ISSG,code_WTRA,species_number,family_number,no3_darwin_clim,code_NASW,prokaryote_c02_darwin_clim,sample_method_CTD,section_id_P18,dop_darwin_clim,po4_darwin_clim,pelagibacteraceae,target
-2.1594464721459854,-2.6474830691382367,-0.7896269406610987,0,-4.601008672177055,0.37280554162778196,0,0,0,2.547928986700721,0,0,0.29636647266127336,0.23150198913814032,0.3299773845115538,0,0.1861775108283267,1,0,2.167906242819682,1.7624562069679313,4.663005884256972,Other
-2.1594464721459854,-2.408335589349712,-0.7489483255450622,0,-4.601008672177055,0.29400417794367983,0,0,0,2.461231090438665,0,0,0.36631470332198995,0.48308389339458757,0.1743335946957306,0,0.7290543547433261,1,0,2.3268182374897743,1.5766291718916083,4.021721392893302,Other
-2.1594464721459854,-2.4241054593937377,-0.7489483255450622,0,3.074651421607062,0.3310145011289957,0,0,0,2.461231090438665,0,0,-0.05578668859612733,-0.27166181937475425,0.23098520702453648,0,0.23125812936090925,1,0,2.1666709092205236,1.624892752557767,4.822695428965195,Other
-2.1594464721459854,-2.13296939704249,-0.7083812518446124,0,-0.4730096172336213,0.26547913839767817,0,0,0,2.37503551344507,0,0,-0.36934772259244303,-0.20876634331064242,-0.030448769809956484,0,1.1578717046777325,1,0,2.4998923399851924,1.2358771399076391,2.752182864272047,Other
-2.1594464721459854,-2.1778528733216405,-0.7083812518446124,0,3.074651421607062,0.29924006510267814,0,0,0,2.37503551344507,0,0,0.38561076695253244,0.35729294126636396,0.03391430235452459,0,0.6365587468071661,1,0,2.3343281695000506,1.286183173456203,2.2737790492344185,Other
-2.1594464721459854,-1.7472141144270865,-0.6677730782346545,0,-0.4730096172336213,0.27699102681296583,0,0,0,2.2887550435019524,0,0,0.378374743091079,0.6088748455228112,-0.0769562884747949,0,1.7163615274952904,1,0,2.6301741989923113,0.8343652809291778,4.08394845944072,Other
-2.1594464721459854,-1.2694390406756637,-0.7016303817380232,0,-0.4730096172336213,0.24440337129506587,0,0,0,2.2023565179515137,0,0,0.3180745442456337,0.5459793694586994,-0.4987804465134139,0,1.9715518635803913,1,0,3.1669564694520633,1.0103357951231307,2.6423547510922023,Other
-2.1594464721459854,-2.840707300996357,-0.7016303817380232,0,3.8565840583072846,0.42273318935140447,0,0,0,2.2023565179515137,0,0,0.10581784430966613,0.6088748455228112,-0.14459398104976995,0,0.2504207348936215,1,0,2.2594596469973283,1.1684700524866454,2.8098891610275585,Other
-2.1594464721459854,-1.238072595862821,-0.7355000937836166,0,-0.4730096172336213,0.2499000214965343,0,0,0,2.1156686827562114,0,0,0.13958595566311552,0.10571103700991667,-0.12617240176270428,0,2.2171212629003234,1,0,2.947723656488113,0.5054252105570586,3.0860550097860786,Other
-2.1594464721459854,-3.0625252532639746,-0.7355000937836166,0,3.8565840583072846,0.48034633835473933,0,0,0,2.1156686827562114,0,0,0.301190488568909,1.049143177971594,0.3974538307409649,0,0.3460310895730109,1,0,1.7598349209039537,0.6785184363853503,4.961908545792433,Other
-2.1594464721459854,-1.0926778599624063,-0.7693133713456861,0,-0.4730096172336213,0.22176510598902402,0,0,0,2.0296703113071075,0,0,-0.7359729315727506,-0.9006165800158724,-0.5352388966504403,0,2.4897455016409626,1,0,3.4573251299097643,0.631128435922199,2.4858563380017946,Other
-2.1594464721459854,-2.5902956283192418,-0.7693133713456861,0,3.074651421607062,0.32941811368829105,0,0,0,2.0296703113071075,0,0,0.043105637510403,0.1686065130740285,-0.30875420928467096,0,1.4781878169820184,1,0,2.9154075627006315,0.7279172598089799,6.2958015620396495,Other
0.4602299362084598,-0.33295137344581655,-0.8032061258916332,0,-0.4730096172336213,0.33957562084193244,0,0,0,1.9433121163847733,0,0,0.8511283020393704,1.1120386540357057,0.4471381210813529,0,1.9863141412982745,1,0,2.292911591754011,0.3107773733875009,-0.37419537446607254,Prochloraceae
0.3536405502572896,0.10791180668607316,-0.8370729119054355,0,-0.4730096172336213,0.8453976349936573,0,0,0,1.8569064228640286,0,0,0.2601863533540062,0.9862477019074821,1.035249946483648,1,0.37339756665277346,1,0,0.15136839427468324,-0.12732146829228916,-0.37419537446607254,Prochloraceae
0.47710658898406205,0.23095145208451734,-0.8709564006840447,0,-0.4730096172336213,0.9327710568609446,0,0,0,1.7707094209124812,0,0,-0.40793984985352805,-0.08297539118241878,1.0855404023216206,1,0.01721831642183271,1,0,-0.18873664870109927,-0.25173335214783527,-0.37419537446607254,Prochloraceae
0.8513806828353306,0.16839185773404075,-0.9048640563178161,0,-0.4730096172336213,0.9385918544708709,0,0,0,1.6841799287720616,0,0,0.12028989203257302,0.1686065130740285,1.1135751168346992,1,0.10938384523642067,1,0,-0.16856580578730873,-0.27488527987676803,-0.37419537446607254,Prochloraceae
0.4072582413721205,0.3214115857436548,-0.9386651420807567,0,-0.4730096172336213,0.9775248029569976,0,0,0,1.59781594765683,0,0,0.6436956180110385,0.9862477019074821,1.1388290119188476,1,0.054756385827169456,1,0,-0.255225070057285,-0.30648385597709915,-0.37419537446607254,Prochloraceae
-0.30947462961468825,0.38033197931474066,-0.995173223431895,0,-0.4730096172336213,1.032854357141328,0,0,0,1.540277138695068,0,0,0.31083852038418025,0.10571103700991667,1.097953602515547,1,-0.2686888796239518,1,0,-0.4575220595823445,-0.32380194767883247,-0.37419537446607254,Prochloraceae
